,UNITID,OPEID,OPEID6,INSTNM,AGEGE24,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_HISPANIC,PCT_BA,PCT_GRAD_PROF,PCT_BORN_US,MEDIAN_HH_INC,POVERTY_RATE,UNEMP_RATE,LN_MEDIAN_HH_INC,COUNT_NWNE_P10,COUNT_WNE_P10,MN_EARN_WNE_P10,MD_EARN_WNE_P10,PCT10_EARN_WNE_P10,PCT25_EARN_WNE_P10,PCT75_EARN_WNE_P10,PCT90_EARN_WNE_P10,SD_EARN_WNE_P10,COUNT_WNE_INC1_P10,COUNT_WNE_INC2_P10,COUNT_WNE_INC3_P10,COUNT_WNE_INDEP0_INC1_P10,COUNT_WNE_INDEP0_P10,COUNT_WNE_INDEP1_P10,COUNT_WNE_MALE0_P10,COUNT_WNE_MALE1_P10,GT_25K_P10,MN_EARN_WNE_INC1_P10,MN_EARN_WNE_INC2_P10,MN_EARN_WNE_INC3_P10,MN_EARN_WNE_INDEP0_INC1_P10,MN_EARN_WNE_INDEP0_P10,MN_EARN_WNE_INDEP1_P10,MN_EARN_WNE_MALE0_P10,MN_EARN_WNE_MALE1_P10,COUNT_NWNE_P6,COUNT_WNE_P6,MN_EARN_WNE_P6,MD_EARN_WNE_P6,PCT10_EARN_WNE_P6,PCT25_EARN_WNE_P6,PCT75_EARN_WNE_P6,PCT90_EARN_WNE_P6,SD_EARN_WNE_P6,COUNT_WNE_INC1_P6,COUNT_WNE_INC2_P6,COUNT_WNE_INC3_P6,COUNT_WNE_INDEP0_INC1_P6,COUNT_WNE_INDEP0_P6,COUNT_WNE_INDEP1_P6,COUNT_WNE_MALE0_P6,COUNT_WNE_MALE1_P6,GT_25K_P6,MN_EARN_WNE_INC1_P6,MN_EARN_WNE_INC2_P6,MN_EARN_WNE_INC3_P6,MN_EARN_WNE_INDEP0_INC1_P6,MN_EARN_WNE_INDEP0_P6,MN_EARN_WNE_INDEP1_P6,MN_EARN_WNE_MALE0_P6,MN_EARN_WNE_MALE1_P6,COUNT_NWNE_P7,COUNT_WNE_P7,MN_EARN_WNE_P7,SD_EARN_WNE_P7,GT_25K_P7,COUNT_NWNE_P8,COUNT_WNE_P8,MN_EARN_WNE_P8,MD_EARN_WNE_P8,PCT10_EARN_WNE_P8,PCT25_EARN_WNE_P8,PCT75_EARN_WNE_P8,PCT90_EARN_WNE_P8,SD_EARN_WNE_P8,GT_25K_P8,COUNT_NWNE_P9,COUNT_WNE_P9,MN_EARN_WNE_P9,SD_EARN_WNE_P9,GT_25K_P9,GT_28K_P10,GT_28K_P8,GT_28K_P6
1575,166027,215500,2155,Harvard University,0.49000000953674,74.0800018310547,10.2799997329711,7.40000009536743,11.9099998474121,22.8099994659423,17.3999996185302,81.3099975585937,76879.55,7.76999998092651,3.46000003814697,11.1700000762939,212.0,1701.0,139100.0,89700.0,24700.0,55000.0,166800.0,250000.0,153200.0,729.0,554.0,418.0,157.0,651.0,1050.0,964.0,737.0,0.904,135000.0,135600.0,150800.0,118600.0,135000.0,141600.0,111100.0,175600.0,192.0,1619.0,91300.0,70300.0,18800.0,45100.0,111300.0,233800.0,79200.0,687.0,631.0,301.0,136.0,612.0,1007.0,885.0,734.0,0.875,89100.0,94700.0,89400.0,84400.0,71700.0,103200.0,81100.0,103600.0,162.0,1537.0,113600.0,118200.0,0.8698763847351,250.0,2014.0,123700.0,84100.0,19200.0,50900.0,157900.0,250000.0,122400.0,0.87,214.0,1840.0,123000.0,127000.0,0.87880432605743,0.892,0.869,0.869
938,144050,177400,1774,University of Chicago,0.31000000238418,76.0999984741211,11.2299995422363,5.26000022888183,10.8100004196167,21.8099994659423,15.0900001525878,85.0800018310547,74573.19,7.23999977111816,3.34999990463256,11.1499996185302,164.0,1408.0,103000.0,68100.0,16700.0,43900.0,120800.0,195000.0,113200.0,518.0,400.0,490.0,87.0,795.0,613.0,746.0,662.0,0.858,110000.0,104300.0,94600.0,70000.0,83400.0,128500.0,86400.0,121700.0,100.0,1083.0,72100.0,54300.0,11900.0,33200.0,85200.0,160400.0,73500.0,374.0,273.0,436.0,100.0,736.0,347.0,595.0,488.0,0.831,74800.0,78800.0,65500.0,48600.0,60400.0,97000.0,62400.0,83900.0,143.0,1166.0,80500.0,90700.0,0.82075470685958,140.0,1361.0,89700.0,61300.0,14600.0,40300.0,100100.0,182200.0,97500.0,0.84,148.0,1014.0,87800.0,98700.0,0.83826428651809,0.859,0.844,0.805
637,130794,142600,1426,Yale University,0.34999999403953,73.4300003051757,11.2399997711181,6.59999990463257,12.4099998474121,22.2199993133544,16.25,82.5400009155273,75345.96,7.76999998092651,3.52999997138977,11.1499996185302,147.0,1347.0,124400.0,83200.0,15400.0,52200.0,153300.0,184800.0,136200.0,575.0,334.0,438.0,94.0,620.0,727.0,670.0,677.0,0.894,123400.0,126400.0,124100.0,109100.0,111000.0,135700.0,100200.0,148300.0,61.0,730.0,67800.0,56600.0,14000.0,32400.0,88200.0,142100.0,53400.0,306.0,201.0,223.0,82.0,489.0,241.0,353.0,377.0,0.828,67800.0,65900.0,69600.0,59000.0,62100.0,79300.0,64900.0,70500.0,96.0,1169.0,93200.0,95300.0,0.83661246299743,98.0,1016.0,97100.0,72400.0,18600.0,45000.0,115500.0,205400.0,99800.0,0.875,99.0,908.0,88700.0,100800.0,0.83590310811996,0.875,0.861,0.786
4026,243744,130500,1305,Stanford University,0.28999999165534,69.6900024414062,8.07999992370605,9.93000030517578,16.1299991607666,23.0599994659423,16.5200004577636,79.9000015258789,80275.59,7.55000019073486,3.45000004768371,11.2200002670288,116.0,1120.0,141300.0,94000.0,22500.0,57000.0,164000.0,232800.0,156700.0,372.0,296.0,452.0,153.0,717.0,403.0,508.0,612.0,0.908,134300.0,135300.0,151000.0,120900.0,111300.0,194700.0,110900.0,166600.0,69.0,1050.0,92800.0,70400.0,18700.0,41600.0,112800.0,214600.0,98100.0,339.0,317.0,394.0,141.0,799.0,251.0,517.0,533.0,0.871,97300.0,83000.0,96700.0,62900.0,79600.0,134600.0,75800.0,109200.0,110.0,1157.0,98600.0,98300.0,0.85911840200424,107.0,1204.0,121400.0,90000.0,19100.0,53700.0,146800.0,228300.0,129700.0,0.893,118.0,1054.0,109000.0,124100.0,0.88709676265716,0.912,0.88,0.841
3149,215062,337800,3378,University of Pennsylvania,0.33000001311302,75.1999969482422,12.6899995803833,6.17000007629394,8.26000022888183,21.9300003051757,15.9300003051757,84.7900009155273,78252.0,7.01000022888183,3.40000009536743,11.1800003051757,299.0,2777.0,131600.0,85900.0,22700.0,55100.0,151600.0,236200.0,147600.0,866.0,717.0,1194.0,234.0,1604.0,1173.0,1525.0,1252.0,0.907,113100.0,119900.0,152000.0,112700.0,124900.0,140800.0,102300.0,167300.0,219.0,2275.0,91200.0,71600.0,23500.0,45400.0,108000.0,191500.0,80000.0,674.0,601.0,1000.0,175.0,1370.0,905.0,1231.0,1044.0,0.897,77700.0,92100.0,99900.0,69200.0,85600.0,99800.0,75800.0,109500.0,240.0,2370.0,102200.0,110500.0,0.88143461942672,251.0,2717.0,107800.0,76700.0,24100.0,52100.0,123800.0,224500.0,113600.0,0.904,242.0,2345.0,104600.0,115800.0,0.88784646987915,0.909,0.896,0.878
2530,198419,292000,2920,Duke University,0.20999999344348,76.370002746582,13.579999923706,4.51999998092651,8.61999988555908,22.9500007629394,15.0900001525878,86.5999984741211,78468.48,6.34999990463257,3.01999998092651,11.1899995803833,107.0,1363.0,114500.0,84400.0,25900.0,53300.0,134500.0,216800.0,112400.0,377.0,361.0,625.0,102.0,929.0,434.0,709.0,654.0,0.916,121600.0,108000.0,113900.0,92500.0,106800.0,131000.0,100700.0,129400.0,89.0,1385.0,93200.0,76300.0,19700.0,46000.0,117100.0,176900.0,78900.0,515.0,364.0,506.0,74.0,731.0,654.0,718.0,667.0,0.885,98500.0,87000.0,92300.0,55100.0,77000.0,111300.0,76100.0,111600.0,90.0,1016.0,95000.0,105500.0,0.85531497001647,82.0,1291.0,103200.0,77400.0,20500.0,50600.0,127600.0,190700.0,102200.0,0.903,96.0,1083.0,101100.0,99400.0,0.89473682641983,0.916,0.898,0.874
1489,162928,207700,2077,Johns Hopkins University,0.34999999403953,75.6999969482422,12.4600000381469,6.07000017166137,7.73999977111816,22.5400009155273,16.0200004577636,85.8099975585937,81539.46,6.17999982833862,3.03999996185302,11.2299995422363,143.0,1560.0,89300.0,73200.0,23400.0,51100.0,107700.0,148600.0,71400.0,476.0,387.0,697.0,64.0,875.0,685.0,887.0,673.0,0.898,106100.0,81000.0,82600.0,74100.0,78500.0,103200.0,83500.0,97100.0,119.0,1242.0,68000.0,62700.0,16900.0,39200.0,88000.0,108900.0,50800.0,347.0,305.0,590.0,59.0,777.0,465.0,704.0,538.0,0.875,68600.0,65400.0,68900.0,49200.0,63500.0,75300.0,62800.0,74700.0,124.0,1111.0,69300.0,46500.0,0.85058504343032,127.0,1466.0,78400.0,69300.0,19700.0,46900.0,97500.0,127800.0,58300.0,0.867,97.0,1094.0,79700.0,65000.0,0.87751370668411,0.897,0.866,0.836
1037,147767,173900,1739,Northwestern University,0.23999999463558,78.0199966430664,9.15999984741211,6.05000019073486,9.85999965667724,24.0599994659423,16.0200004577636,84.7600021362304,81811.63,6.0,3.04999995231628,11.25,168.0,1899.0,93400.0,69000.0,16800.0,46600.0,109800.0,173600.0,92200.0,515.0,501.0,883.0,166.0,1298.0,601.0,1084.0,815.0,0.876,99900.0,89100.0,92000.0,78100.0,82500.0,117000.0,81900.0,108600.0,159.0,1845.0,71900.0,58900.0,15200.0,37900.0,86200.0,118400.0,58100.0,458.0,472.0,915.0,133.0,1261.0,584.0,1036.0,809.0,0.848,70100.0,74500.0,71500.0,51500.0,61500.0,94600.0,65600.0,80000.0,163.0,1606.0,73300.0,75700.0,0.83250313997268,165.0,2018.0,82800.0,63700.0,15700.0,41800.0,97500.0,149500.0,77400.0,0.844,171.0,1612.0,78800.0,80500.0,0.84677422046661,0.865,0.854,0.835
653,131496,144500,1445,Georgetown University,0.28999999165534,75.3499984741211,11.4399995803833,5.90999984741211,11.0299997329711,22.9200000762939,17.1599998474121,83.2300033569336,82187.36,6.53999996185302,3.08999991416931,11.2399997711181,203.0,1811.0,125200.0,93500.0,28500.0,58500.0,156500.0,221900.0,111600.0,582.0,410.0,819.0,110.0,1121.0,690.0,1034.0,777.0,0.93,150200.0,116700.0,111700.0,102700.0,105100.0,157900.0,106000.0,150800.0,117.0,1345.0,81100.0,65200.0,23300.0,44200.0,95500.0,179900.0,67000.0,403.0,311.0,631.0,128.0,935.0,410.0,734.0,611.0,0.867,92700.0,76000.0,76100.0,72800.0,72500.0,100600.0,72800.0,91000.0,146.0,1597.0,95600.0,77400.0,0.89605510234832,144.0,1562.0,101400.0,78400.0,23500.0,54000.0,127600.0,208500.0,78500.0,0.918,137.0,1294.0,101400.0,92300.0,0.90880990028381,0.927,0.912,0.869
497,123961,132800,1328,University of Southern California,0.25999999046325,64.3300018310547,6.34000015258789,12.8500003814697,23.3700008392334,21.0699996948242,12.7399997711181,73.5500030517578,76787.41,8.75,3.67000007629394,11.1800003051757,499.0,5153.0,88800.0,74000.0,15800.0,45600.0,113200.0,143900.0,73500.0,2067.0,1259.0,1827.0,692.0,3376.0,1777.0,2890.0,2263.0,0.862,97700.0,85800.0,80900.0,72500.0,78000.0,109400.0,81200.0,98600.0,291.0,3564.0,61400.0,53800.0,13500.0,33400.0,77900.0,125100.0,63200.0,1010.0,892.0,1662.0,480.0,3026.0,538.0,1881.0,1683.0,0.811,66500.0,58700.0,59800.0,55200.0,60400.0,67500.0,54900.0,68700.0,440.0,4272.0,68800.0,58200.0,0.83567416667938,346.0,3936.0,76900.0,64700.0,15800.0,40400.0,93900.0,139100.0,71500.0,0.842,493.0,4434.0,72800.0,57100.0,0.8364907503128,0.856,0.834,0.798
